text,label,total_price
"AlipayHK
麵包 ................ $353.6
2 即食麵 $201.5
COME AGAIN
------------------------------
時間: 2025-11-02 11:37
收銀員: 001
******************************
759阿信屋",購物,277.6
"會員積分 +25
2 午夜場票 $140.5
4 日本北海道3.6朱古力 $371.5
營業時間: 07:00-23:00
北海道3.6牛乳   3 @$92.8
K11 Art House票 ................ $417.1
Total: $567.7
VIP座位 x4
分店: 銅鑼灣
分店: 銅鑼灣
地址: 香港九龍尖沙咀XX路XX號
遊戲幣 ................ $604.1
總額: $567.7
PALACE ifc
時間: 2025-07-24 10:59",娛樂,567.7
"Visa
$313.5   K11 Art House票
洗頭水                  $321.8
  折扣 -$4.9
--------------------------------
--------------------------------
實收: $882.8
昂坪360門票          $37.4
$882.8
4 礦泉水 $629.1
4 紙巾 $703.0
紙巾 x4
佳寶食品超市
時間: 2025-08-16 14:31
迪士尼樂園門票   1 @$93.6
貨品售出 恕不退換
筆記本          $88.8
AlipayHK",購物,882.8
"礦泉水   3 @$87.3
即食麵          $339.1
  會員折扣 -$6.0
  會員折扣 -$5.9
一田超市
合計: HKD $558.1
紙巾                   $171.5
******************************
Date: 2025/09/25
4 衛生巾 $611.4
雪糕 x3
筆記本 ................ $245.8
  優惠價 -$4.9
COME AGAIN
無塑膠袋 Thank you",購物,558.1
"謝謝光臨
------------------------------
The Grand
分店: 中環
合計: HKD $497.2
遊戲幣 x4
昂坪360門票          $400.5
遊戲幣 x2
八達通
稅款已包括
展覽票          $271.2
總額: $497.2
長者票

信用卡",娛樂,497.2
"4 保險費 $440.3
------------------------------
日期: 2025-02-18
樂園門票   4 @$64.9
位元堂
應付金額: $175.0
Total: $175.0
信用卡",其他,175.0
"COME AGAIN
收銀機: 01
電車
無塑膠袋 Thank you
電車票 x4
  第二件半價
八達通增值   1 @$91.8
的士費 ................ $168.7
九巴月票   3 @$104.3
成人單程票                $324.3
  會員折扣 -$12.3
COME AGAIN
時間: 2025-04-24 16:45
1 城巴月票 $127.8
地址: 香港九龍尖沙咀XX路XX號
3 的士費 $237.6
  買一送一優惠
  第二件半價
總額: $879.5
2 昂坪360纜車票 $60.8
小巴費          $369.1",交通,879.5
"崇光超市 (SOGO)
Total: $147.5
三文治 x4
充電器 ................ $245.9
2025年3月14日
$236.4   洗頭水
UnionPay",購物,147.5
"歡迎下次光臨
收銀機: 01
收銀員: 001
環保袋收費 $0.5
日期: 2025-11-07
PAID
八達通
總額: $0.0
Shake Shack
營業時間: 07:00-23:00",食飯,0.0
"水費
  折扣 -$11.8
******************************
總額: $547.1
Date: 2025/05/14
管理費 x3
仁濟醫院
分店: 銅鑼灣
營業時間: 07:00-23:00
  第二件半價
X光費 x4
電費 ................ $263.0
分店: 中環
SmarTone數據費",其他,547.1
"  優惠價 -$5.0
洗頭膏   2 @$177.8
面膜          $370.9
拖鞋 x3
龍城大藥房
$92.2   可樂
麵包
充電器 ................ $253.8
中藥          $101.4
化驗費   3 @$61.4

Visa
養和醫院診症費 ................ $111.0
------------------------------
  會員折扣 -$6.3
應付金額: $1002.8
薯片          $118.9
棉花棒 x4
MasterCard",購物,1002.8
